年号,月,ウ,日,グレゴリオ暦,地域,天変地異などの記事,原出典,掲載書誌
延喜04,7,0,10,9040828,京都,奉遣御幣、是依旱災、…,扶桑略記,大日本史料1-3
延喜04,7,0,10,9040828,山城,奉遣石清水使、依旱也、,日本紀略後1,新訂増補国史大系
延喜04,8,0,23,9041009,京都,止雨奉幣、,日本紀略後1,新訂増補国史大系
延喜05,7,0,18,9050826,伊勢,奉幣伊勢太神宮、依旱也、,日本紀略後1,新訂増補国史大系
延喜05,9,0,14,9051020,筑前,大衆物章…南方草葺板倉壱宇…遭去九月十四日大風大破、,筑前国観世音寺資財帳,平安遺文1-194
延喜06,0,0,0,9060202,隠岐,讃岐国司言、従坤方猛風高吹、,日本紀略後1,新訂増補国史大系
延喜06,0,0,0,9060202,京都,左大臣申云、諸国損過三不得七、雖少猶可申損、而申一分半不受使毎事也、,歴代宸記,増補史料大成1
延喜06,4,0,0,9060501,京都,某日、雷雨、午刻雷雨暴起、雹降、其大如梅実、,日本紀略後1,新訂増補国史大系
延喜06,5,0,0,9060531,京都,旱気切也、,扶桑略記,大日本史料1-3
延喜07,0,0,0,9070220,京都,洪水人多く死ぬ、,本朝年代記,日本震災凶饉攷
延喜08,0,0,0,9080210,諸国,下知五畿内七道奉幣国内名神及官社、又於国分二寺、并有供定額寺、転大般若経令祈甘雨、,北山抄6,大日本史料1-3
延喜08,5,0,14,9080620,京都,午一刻雷電風雨、雨脚如射…道明朝臣申、朝集院内雨水甚深、…,歴代宸記,増補史料大成1
延喜08,6,0,0,9080706,京都,大中臣申開神泉水関、先例直依百姓請給之、,祈雨記,大日本史料1-3
延喜08,6,0,0,9080706,諸国,是夏、旱、,日本紀略後1,新訂増補国史大系
延喜08,6,0,0,9080706,天下,夏月、天下旱魃、,扶桑略記23,新訂増補国史大系
延喜08,7,0,3,9080807,京都,祈雨御読経、,日本紀略後1,新訂増補国史大系
延喜08,7,0,9,9080813,諸国,於諸国定額寺令転経、依祈雨也、又令左右京職埋路辺骨、,日本紀略,大日本史料1-3
延喜08,7,0,9,9080813,諸国,議定祈雨事、即下五畿七道諸国符偁、近者災（炎カ）旱渉旬、頃□□祈甘雨、冥感未致、宜仰諸国、奉幣国内名神并官社、令祷請、又令左右京職、埋隠京中路辺死人骸骨、是等皆依無祷雨之感矣、,扶桑略記,大日本史料1-3
延喜08,7,0,12,9080816,諸国,祈雨奉幣諸社、,日本紀略後1,新訂増補国史大系
延喜08,7,0,19,9080823,京都,奏可修祈雨法之由、即率僧卅二口、於神泉苑修孔雀経法、第五箇日酉剋、雨快下、廿六日結願、,東寺長者補任1,大日本史料1-3
延喜08,7,0,19,9080823,京都,於神泉苑修祈雨法、,日本紀略後1,新訂増補国史大系
延喜08,7,0,26,9080830,京都,祈雨、発山陵使、,日本紀略後1,新訂増補国史大系
延喜08,8,0,2,9080905,京都,依祈雨事、参深草山陵、,貞信公記,大日本古記録
延喜08,8,0,17,9080920,京都,為祈願晴、有雨師（丹生・貴布袮）幣使、,貞信公記,大日本古記録
延喜08,9,0,0,9081003,諸国,左大臣申云、諸国損過三不得七、雖少猶可申損而申一分半、不受使、毎事也、故立制不許、,西宮記,大日本史料1-3
延喜08,9,0,9,9081011,諸国,止重陽宴、依諸国衰損也、有平座、,日本紀略,大日本史料1-3
延喜08,9,0,9,9081011,諸国,停止節会、是二十三箇国言上損不堪之状、,扶桑略記23,大日本史料1-3
延喜08,12,0,29,9090128,京都,人々云、今年京中愁咳、此依不儺疫鬼云々、,歴代宸記,増補史料大成1
延喜09,1,0,21,9090219,京都,止内宴、依告申諸国損也、,日本紀略,大日本史料1-4
延喜09,1,0,21,9090219,京都,止内裡宴会、依去年損也、,扶桑略記23,大日本史料1-4
延喜09,3,0,0,9090329,京都,春夏之間疾疫盛発、,扶桑略記23,大日本史料1-4
延喜09,4,0,1,9090428,天下,無音楽、依天下病患也、延喜九年例也、,日本紀略,大日本史料1-4
延喜09,4,0,5,9090502,京都,霜降厳寒、時人莫不愁、,扶桑略記23,大日本史料1-4
延喜09,5,0,0,9090527,京都,従去年夏、至此夏、疾疫、,日本紀略後1,新訂増補国史大系
延喜09,5,0,9,9090604,諸国,依疾疫、於諸寺諸社、読仁王経、,日本紀略後1,新訂増補国史大系
延喜09,5,0,10,9090605,京都,諸卿就陣為祈疾疫、於諸寺諸社、限三日可読仁王経之由、給宣旨、定十二所、,扶桑略記23,大日本史料1-4
延喜09,5,0,19,9090614,京都,洪水、,日本紀略後1,新訂増補国史大系
延喜09,5,0,26,9090621,京都,仁王会、依攘疫疾也、従去年夏至此夏疾疫、,日本紀略,大日本史料1-4
延喜09,5,0,26,9090621,京都,有臨時仁王会、依疾疫也、,扶桑略記23,大日本史料1-4
延喜09,6,0,0,9090626,京都,夏霖雨休まず、洪水汎溢、京師垣墻皆倒る、,扶桑略記,日本震災凶饉攷
延喜09,6,0,0,9090626,天下,春夏之間、疾疫盛発、,扶桑略記23,新訂増補国史大系
延喜09,6,0,5,9090630,京都,大雨、道路如海、,扶桑略記23,大日本史料1-4
延喜09,6,0,9,9090704,京都,依霖雨御卜、,日本紀略,大日本史料1-4
延喜09,6,0,9,9090704,京都,召官寮有霖雨御卜…,扶桑略記23,大日本史料1-4
延喜09,6,0,10,9090705,京都,大雨、,扶桑略記23,大日本史料1-4
延喜09,6,0,12,9090707,京都,止雨奉幣諸社、,日本紀略,大日本史料1-4
延喜09,6,0,12,9090707,京都,被立止雨奉幣、近日霖雨累日、諸司及京中築垣皆顚倒、未曾聞如此之年、,扶桑略記23,大日本史料1-4
延喜09,6,0,19,9090714,京都,実検鴨河堤、,日本紀略,大日本史料1-4
延喜09,6,0,19,9090714,京都,諸卿巡見鴨河、,貞信公記抄,大日本史料1-4
延喜09,6,0,19,9090714,京都,諸卿実検鴨河堤破損、,扶桑略記23,大日本史料1-4
延喜09,7,0,0,9090725,京都,無相撲節、依春夏疾疫也、,日本紀略後1,新訂増補国史大系
延喜09,8,0,25,9090917,京都,止雨奉幣、,日本紀略,大日本史料1-4
延喜09,8,0,25,9090917,京都,有祈止雨幣使事、,貞信公記,大日本古記録
延喜09,9,0,3,9091024,京都,今年有時行・洪水、仍九日節止、,貞信公記,大日本古記録
延喜09,9,0,5,9091026,京都,右大臣以下諸卿、覆勘川原堤…,扶桑略記23,大日本史料1-4
延喜09,9,0,9,9091030,京都,停止重陽宴、是依春夏疫癘、又宮中京内樹木多発華也、,扶桑略記23,大日本史料1-4
延喜09,9,0,9,9091030,京都,＜九月九日節会事＞…又依疫癘并樹木秋花等之事停止云々、,政事要略24,大日本史料1-4
延喜09,9,0,14,9091104,京都,諸道進非時樹木花勘文、,日本紀略,大日本史料1-4
延喜10,1,0,1,9100218,京都,停朝賀事、依去八年旱、九年疫災也、今日又雨湿也、,日本紀略後1,新訂増補国史大系
延喜10,4,0,0,9100517,京都,大旱、,日本紀略.皇年代記,日本震災凶饉攷
延喜10,4,0,22,9100607,京都,風雨猛烈多損京中舎宅、及廿三日不休、,日本紀略,大日本史料1-4
延喜10,5,0,14,9100628,京都,雷鳴雨降、於亭子院東霹靂童一人也、,日本紀略,大日本史料1-4
延喜10,5,0,20,9100704,京都,雷鳴陣立、,貞信公記抄,大日本史料1-4
延喜10,6,0,0,9100715,天下,六、七両月、天下旱魃、,扶桑略記23,大日本史料1-4
延喜10,6,0,0,9100715,京都,今月炎旱、,日本紀略後1,新訂増補国史大系
延喜10,6,0,15,9100729,京都,祈雨御読経始、八省、,貞信公記,大日本古記録
延喜10,7,0,0,9100813,京都,～八月、大風雨四回、,日本紀略.皇年代記,日本震災凶饉攷
延喜10,7,0,10,9100822,天下,日来炎旱、詔諸国神社山川奉幣投牲…禁猟制漁、又赦天下、,日本紀略,大日本史料1-4
延喜10,7,0,18,9100830,京都,風雨、発屋抜樹、梁柱摧折、,日本紀略後1,新訂増補国史大系
延喜10,8,0,1,9100912,京都,大風、,日本紀略後1,新訂増補国史大系
延喜10,8,0,26,9101007,京都,於神泉孔雀経法、為祈雨限五箇日修之、,東寺長者補任1,大日本史料1-4
延喜10,9,0,9,9101019,京都,依諸国旱損、止重陽宴、,日本紀略,大日本史料1-4
延喜10,9,0,9,9101019,京都,停節会、天皇不御南殿、依旱災也、,扶桑略記23,大日本史料1-4
延喜11,1,0,2,9110208,京都,停朝賀、依去年旱損也、於南殿有宴会、,日本紀略,大日本史料1-4
延喜11,6,0,0,9110704,京都,今月霖雨不休、京都洪水泛溢、,日本紀略,大日本史料1-4
延喜11,6,0,0,9110704,京都,有洪水、,扶桑略記23,新訂増補国史大系 
延喜12,4,0,10,9120505,京都,祈雨奉幣使、,日本紀略後1,新訂増補国史大系
延喜12,4,0,10,9120504,京都,有祈雨幣使、従去月十七日無雨［潤］而今日快降、,貞信公記,大日本古記録
延喜12,5,0,5,9120529,京都,節会・名社并十五大寺読仁王経、祈疾疫事、,日本紀略後1,新訂増補国史大系
延喜12,5,0,23,9120616,京都,賑給、,日本紀略後1,新訂増補国史大系
延喜12,6,0,2,9120723,京都,祈雨奉幣諸社、,日本紀略,大日本史料1-4
延喜12,6,0,2,9120723,京都,祈雨幣使立、,貞信公記抄,大日本史料1-4
延喜12,7,0,4,9120823,諸国,今日依祈雨、丹生・貴布袮奉幣出立、,西宮記,大日本史料1-4
延喜13,0,0,0,9130214,諸国,是歳三十三国、風雨水旱、,北山鈔,日本震災凶饉攷
延喜13,6,0,0,9130712,天下,夏月天下旱魃、,扶桑略記23,大日本史料1-4
延喜13,6,0,0,9130712,天下,夏天下大旱、和上千手堂修法祈雨至于竟日、油雲四合、甘雨滂沱、,日本高僧伝要文抄,大日本史料1-4
延喜13,8,0,0,9130908,京都,大風、,北山鈔,日本震災凶饉攷
延喜13,8,0,1,9130908,京都,大風古来相伝云、于今未有如此之大風云々、,河海抄11,大日本史料1-4
延喜13,8,0,1,9130908,京都,大風猛烈、公私屋舎多顚倒、,貞信公記,大日本古記録
延喜13,8,0,1,9130908,京都,大風抜木発屋、,扶桑略記23,新訂増補国史大系 
延喜13,8,0,1,9130908,京都,従申刻、大風吹、折樹木、破舎屋、,日本紀略後1,新訂増補国史大系
延喜13,8,0,2,9130909,京都,今日有勅、遣使左右京、令検被損風宅、為賑給  六位以下、,貞信公記,大日本古記録
延喜13,8,0,5,9130912,京都,風損人宅給物、依仁寿二年閏八月十二日例也、,日本紀略後1,新訂増補国史大系
延喜13,8,0,5,9130912,京都,依仁寿二年閏八月十二日例、計遇害者、凡一千五百十七烟、賜物有差、,扶桑略記23,大日本史料1-4
延喜13,9,0,9,9131016,京都,依諸国損、無宴、…,西宮記,大日本史料1-4
延喜13,9,0,9,9131016,京都,今年諸国多申不堪及損田＜不堪佃廿四ケ国、旱損九ケ国、風水損十四ケ国＞因之停宴、,北山抄2,大日本史料1-4
延喜13,9,0,9,9131016,京都,依有風損、停止節会…、今日以前、予申損田廿国、不堪佃田廿四国、,貞信公記,大日本古記録
延喜13,9,0,9,9131026,京都,止節会、依諸国申不堪并風水之損也、,日本紀略後1,新訂増補国史大系
延喜13,9,0,25,9131101,京都,雨師二社有奉幣、為止雨也、,貞信公記,大日本古記録
延喜13,11,0,0,9131206,京都,大風、,北山鈔,日本震災凶饉攷
延喜13,11,0,7,9131212,京都,自酉至子、大風猛烈、多破京中屋舎、右（左カ）馬寮屋転倒犬、,扶桑略記23,大日本史料1-4
延喜13,11,0,7,9131223,京都,大風猛烈、左馬寮顚倒、人死、,日本紀略後1,新訂増補国史大系
延喜13,12,0,30,9140202,京都,依年穀不登、停明年朝賀、,日本紀略,大日本史料1-4
延喜14,1,0,1,9140203,京都,停朝賀、依去年不登也、,日本紀略,大日本史料1-4
延喜14,1,0,1,9140203,京都,朝賀停止、依嘉祥二年、去十一年等、年穀不登例也、,扶桑略記23,大日本史料1-4
延喜14,1,0,16,9140218,天下,天下大疫、,年代記配合抄,内閣文庫
延喜14,1,0,20,9140222,京都,停内宴、依去年不登也、,日本紀略,大日本史料1-4
延喜14,5,0,13,9140614,京都,定祈雨使等、,貞信公記抄,大日本史料1-4
延喜14,5,0,15,9140616,京都,奉遣伊勢并諸社幣使、是為祈雨也、,扶桑略記23,大日本史料1-4
延喜14,5,0,17,9140618,京都,定祈雨御読経僧名、,貞信公記,大日本古記録
延喜14,5,0,19,9140620,京都,祈雨御読経、,貞信公記,大日本古記録
延喜14,5,0,24,9140625,京都,於神泉苑、修請雨経法、伴僧廿口、但、五ケ日、修請雨経法、依無験、修孔雀経法、自子刻、雨脚滂沱、廿九日結願、,東寺王代記,続群書類従29下
延喜14,6,0,0,9140701,京都,洪水、人多死、,本朝年代記,日本震災凶饉攷
延喜14,6,0,15,9140715,京都,洪水、,日本紀略後1,新訂増補国史大系
延喜14,9,0,2,9140929,京都,奉幣雨師二社祈晴、,貞信公記,大日本古記録
延喜15,0,0,0,9150123,諸国,京都及び諸国旱、,北山鈔,日本震災凶饉攷
延喜15,0,0,0,9150123,京都,男女煩小瘡…其瘡為体、或如粟、或如豆、去延喜十五年有此瘡也、俗号曰疱瘡云々、,日本紀略,大日本史料1-4
延喜15,0,0,0,9150123,京都,疱瘡事、／発年々…延喜十五年、,類聚符宣鈔3,大日本史料1-4
延喜15,4,0,12,9150602,諸国,三箇日於十一社令読仁王経、祈諸国京師疫、,扶桑略記23,大日本史料1-4
延喜15,5,0,6,9150626,京都,為攘疫癘、請百口僧、仁王経御読経停止、,扶桑略記23,大日本史料1-4
延喜15,5,0,24,9150714,京都,是日於神泉苑請僧廿口、…令修請雨経法、,祈雨日記,続群書類従25下
延喜15,5,0,25,9150715,京都,自今日、於神泉及延暦寺、五箇有御修法為救旱也、,祈雨記,大日本史料1-4
延喜15,5,0,28,9150718,京都,被免囚廿三人、依旱也、,扶桑略記23,大日本史料1-4
延喜15,6,0,20,9150808,京都,於大極殿臨時御読経、祈雨也、,扶桑略記23,大日本史料1-4
延喜15,6,0,20,9150808,京都,於大極殿、修臨時御読経、為攘疫癘、祈甘雨也、,日本紀略後1,新訂増補国史大系
延喜15,6,0,24,9150812,京都,於神泉苑院命修法、依重祈雨也、,祈雨記,大日本史料1-4
延喜15,6,0,24,9150812,京都,於神泉苑請僧廿口、修請雨経法、,東寺長者補任,大日本史料1-4
延喜15,6,0,24,9150812,京都,於神泉苑、自今日五箇日、修請雨経法、又祀五龍、,扶桑略記23,大日本史料1-4
延喜15,6,0,24,9150812,京都,於神泉苑、限五箇日、請阿闍梨観賢等僧廿口、修請雨経、又陰陽寮各祀五龍、同為祈甘雨也、,日本紀略後1,新訂増補国史大系
延喜15,6,0,27,9150815,京都,子一刻雨脚滂沱云々、通宵雨甚不休…,祈雨記,大日本史料1-4
延喜15,7,0,0,9150819,天下,秋月、天下疱瘡、都鄙老少無一免者、夭亡之輩、盈満朝野、,扶桑略記23,新訂増補国史大系 
延喜15,7,0,13,9150831,出羽,出羽国言上、雨灰高二寸、諸郷農桑枯損之由、,扶桑略記23,大日本史料1-4
延喜15,7,0,24,9150911,京都,被立九社奉幣、依祈雨也、,扶桑略記23,大日本史料1-4
延喜15,8,0,23,9151010,天下,外記京中樹木華、并天下赤痢時、御祈之例勘申、,扶桑略記23,大日本史料1-4
延喜15,9,0,1,9151017,京都,近者万木華発、諸人煩赤痢、,日本紀略,大日本史料1-4
延喜15,9,0,7,9151023,天下, 此日、石清水・賀茂上下・松尾・平野・大原野・稲荷等奉幣、是依天下之赤痢病也、,西宮記,大日本史料1-4
延喜15,9,0,7,9151023,京都,被立諸社奉幣使、因万木花并赤痢病也、,扶桑略記23,大日本史料1-4
延喜15,9,0,9,9151025,京都,停重陽宴、依諸国申不堪佃田也、,日本紀略,大日本史料1-4
延喜15,9,0,9,9151025,京都,止重陽宴、依諸国旱損疫之由也、,扶桑略記23,大日本史料1-4
延喜15,9,0,25,9151110,京都,定諸社諸寺仁王経読経事、三箇日為祈京中諸国疱瘡赤痢病也、,扶桑略記23,大日本史料1-4
延喜15,10,0,16,9151130,京都,於紫宸殿大庭、建礼門・朱雀門等三所、有大祓事、為除疱瘡…日来主上不予、民間疱瘡転発、,日本紀略,大日本史料1-4
延喜15,10,0,26,9151209,天下,大赦天下、大辟以下悉赦除、犯八虐云々、常赦所不免者、不在此限、又延喜十年以往調庸、未進在民身者、咸従原免、又復天下百姓当年半徭、是従疱瘡流行之愁也、,日本紀略,大日本史料1-4
延喜16,1,0,1,9160211,京都,止朝賀、依去年疱瘡之災也、,日本紀略後1,新訂増補国史大系
延喜16,1,0,20,9160301,京都,停内宴、依去年疱瘡也、,日本紀略後1,新訂増補国史大系
延喜16,5,0,3,9160611,京都,未刻雨雹、其大方三分許、,日本紀略後1,新訂増補国史大系
延喜16,5,0,22,9160630,京都,風烈雨雹、是日…巡検鴨河堤、,日本紀略,大日本史料1-4
延喜16,6,0,29,9160805,京都,雷鳴地震、為祈雨奉幣諸社、,扶桑略記23,大日本史料1-4
延喜16,7,0,4,9160810,京都,広瀬竜田祭、仍廃務如常、今月依祈雨、丹生貴布袮奉幣馬云々、…,西宮記,大日本史料1-4
延喜16,7,0,4,9160810,京都,今日依祈雨、丹生・貴布袮奉幣馬云々、是弘仁十四年七月四日依祈雨和泉国大鳥・積川等社、依奉幣之例所行也云々、,歴代宸記,増補史料大成1
延喜16,7,0,6,9160812,諸国,天陰、奉幣諸社、依祈雨也、,日本紀略後1,新訂増補国史大系
延喜16,8,0,0,9160905,京都,大風雨洪水、,本朝年代記,日本震災凶饉攷
延喜16,9,0,9,9161013,京都,欲御神泉苑而八日甚雨仍乍停止、,撰集秘記,大日本史料1-4
延喜17,0,0,0,9170131,京都,大旱、洛中泉涸る、,日本紀略,日本震災凶饉攷
延喜17,3,0,23,9170422,京都,子刻氷降、,扶桑略記23,大日本史料1-4
延喜17,4,0,0,9170429,京都,奉幣雨師二社祈雨、,貞信公記,大日本古記録
延喜17,4,0,7,9170505,京都,定諸社使、［行幸カ］八省奉幣伊勢＜為祈雨＞、,貞信公記,大日本古記録
延喜17,4,0,9,9170507,京都,奉幣雨師社祈雨七日、定諸社使［於カ］八省奉幣伊勢＜為祈雨＞九日奉幣諸社、,西宮記,大日本史料1-4
延喜17,4,0,12,9170510,京都,奉幣龍穴、兼読経如例、又於神泉修請雨経法、,貞信公記,大日本古記録
延喜17,4,0,13,9170511,京都,甘雨降、,貞信公記,大日本古記録
延喜17,4,0,19,9170517,京都,御読経兼請雨等…,西宮記,大日本史料1-4
延喜17,4,0,22,9170520,京都,行伊勢御幣事＜為祈雨＞、廿三日奉幣諸社…,西宮記,大日本史料1-4
延喜17,6,0,12,9170708,京都,依時疫臨時奉幣諸社、,扶桑略記23,大日本史料1-4
延喜17,7,0,0,9170727,京都,七月以後、炎旱連月、民庶飢渇、群盗満于巷、,日本紀略後１,新訂増補国史大系
延喜17,7,0,4,9170730,京都,広瀬竜田祭之日、為祈雨、諸名神十三社奉遣幣使之例、,小右記,大日本史料1-4
延喜17,7,0,12,9170807,京都,奉幣龍穴御読経雨降、時人感悦、,扶桑略記,大日本史料1-4
延喜17,9,0,0,9170924,京都,秋旱魃饑饉、群盗充布す、,日本紀略,日本震災凶饉攷
延喜17,12,0,19,9180208,京都,従去九月、雨沢不降、井泉枯渇、其尤甚葉、二条以北也、供御井水枯尽、仍以造酒司外、酒殿水、宛供御陽成院上皇開冷泉院東北門、令人庶斉汲其池水、,日本紀略後1,新訂増補国史大系
延喜17,12,0,20,9180209,京都,冷泉院池水亦枯、勅開神泉苑東北門、令人斎汲泉水、,日本紀略,大日本史料1-4
延喜17,12,0,26,9180215,京都,依井泉枯尽、京畿告火急之間…,日本紀略後1,新訂増補国史大系
延喜18,7,0,13,9180827,京都,奉幣［雨］師二社、為祈年（衍カ）止雨也、,貞信公記,大日本古記録
延喜18,8,0,15,9180927,京都,従遅明風雨猛烈、樹木摧折、屋舎破損、,日本紀略後1,新訂増補国史大系
延喜18,8,0,16,9180928,京都,自遅明至十七日暁、風雨猛烈、樹木屋舎摧損、淀河水如海、牛馬人物漂没尤多、雨不経数日、忽成此災、鴨河水車馬不通、溺死者又多云々、,扶桑略記24,大日本史料1-5
延喜18,8,0,17,9180929,山城,暁、淀河水如海岸流、人者共屋流死、獣者溺斃、其日、山崎橋南端入水二間許、,日本紀略後1,新訂増補国史大系
延喜19,0,0,0,9190209,諸国,（弘前）三十五ケ国大不作、,日記,八木橋文庫
延喜19,5,0,14,9190619,京都,奉幣諸神令祈病事、,貞信公記,大日本古記録
延喜19,6,0,6,9190710,京都,奉幣諸社祈雨、,貞信公記,大日本古記録
延喜19,6,0,17,9190721,京都,祈［雨］読経諸社寺行、,貞信公記,大日本古記録
延喜19,6,0,22,9190726,京都,［伊勢］御幣事＜為祈雨也＞、,貞信公記,大日本古記録
延喜19,6,0,23,9190727,京都,奉幣諸社、,貞信公記,大日本古記録
延喜19,6,0,28,9190801,京都,奉幣龍［穴］、於神泉苑、修請雨経法、,貞信公記,大日本古記録
延喜19,6,0,30,9190803,京都,為祈雨、有御読経事、,貞信公記,大日本古記録
延喜19,7,0,4,9190807,京都,奉幣祈雨諸神、,貞信公記,大日本古記録
延喜19,7,0,5,9190808,京都,請雨［経法カ］了、,貞信公記,大日本古記録
延喜19,7,0,7,9190810,京都,雨降、諸人喜感、日来不雨之故也、,日本紀略後1,新訂増補国史大系
延喜20,0,0,0,9200129,諸国,諸国稔らず、疫疾流行す、,年代記抄,日本震災凶饉攷
延喜20,0,0,0,9200129,京都,年中行事相撲／停止、延喜廿＜依病＞、,樗嚢抄,大日本史料1-5
延喜20,3,0,0,9200328,京都,春京都風水、,大日本史,日本震災凶饉攷
延喜20,3,0,6,9200402,京都,乞雨幣使立、,貞信公記,大日本古記録
延喜20,6,0,0,9200624,京都,夏京都大旱、,大日本史,日本震災凶饉攷
延喜20,6,1,23,9200814,京都,為除咳病、可奉幣帛走馬祇園之状、,貞信公記,大日本古記録
延喜20,7,0,0,9200822,京都,旱魃、又今年春夏間、咳病風水、仍無相撲節、,日本紀略後1,新訂増補国史大系
延喜20,7,0,8,9200829,京都,仰斎主令祈甘雨、又令読経龍穴、…,貞信公記,大日本古記録
延喜20,7,0,13,9200903,京都,依召参入、定祈雨、,貞信公記抄,大日本史料1-5
延喜20,7,0,14,9200904,京都,依祈雨被立諸社奉幣、,扶桑略記24,大日本史料1-5
延喜20,7,0,14,9200904,京都,祈雨使立、,貞信公記,大日本古記録
延喜20,7,0,19,9200909,京都,行幸八省奉遣伊勢臨時奉幣、依咳病并甘雨祈也、,扶桑略記24,大日本史料1-5
延喜20,8,0,22,9201011,京都,止雨幣使立雨師二二（衍）社、,貞信公記,大日本古記録
延喜20,9,0,9,9201028,諸国,止重陽宴、依諸国不堪佃并去夏咳病也、,日本紀略後1,新訂増補国史大系
延喜21,1,0,20,9210307,京都,停内宴、依諸国不堪佃、并去年咳病也、,日本紀略後1,新訂増補国史大系
延喜22,0,0,0,9220205,京都,大旱、洛中池涸る、,本朝年代記,日本震災凶饉攷
延喜22,5,0,29,9220701,京都,請名僧於十一社、限三箇日、令転読仁王経、為消京中之病厄也、,日本紀略後1,新訂増補国史大系
延喜23,0,0,0,9230125,京都,行諸社読経事、可宜祈雨幣之次、,祈雨記,大日本史料1-5
延喜23,1,0,27,9230220,京都,と名僧十口於紫宸殿、限三箇日、臨時御読経、為攘咳病也、,日本紀略後1,新訂増補国史大系
延長01,4,0,11,9230504,改元,延長元年／旱魃・疾疫、,園太暦6,史料纂集
延長01,4,1,11,9230603,改元,旱魃、疾疫、,平戸記,旱魃霖雨史料
延長01,4,1,11,9230603,改元,天下咳疫、多以夭亡、,扶桑略記,古事類苑1
延長01,4,1,11,9230603,改元,詔、改延喜廿三年、為延長元年、依水僚疾疫也、有赦令、,日本紀略後1,新訂増補国史大系
延長01,4,1,21,9230613,京都,洪水、羅城門東西、船往来云々、,東寺王代記,続群書類従29下
延長01,4,1,22,9230614,京都,依疫癘、奉幣諸社、,扶桑略記24,大日本史料1-5
延長01,5,0,18,9230709,京都,有仁王会事、依咳疫也、,扶桑略記24,大日本史料1-5
延長01,5,0,22,9230713,京都,不知名白虫飛竟城東大路、北従三条間、南及六条、竟大路正中、如曳帛六分、落死者多、,扶桑略記24,大日本史料1-5
延長01,8,0,30,9231017,諸国,霖雨依、奉幣諸社、,扶桑略記24,新訂増補国史大系
延長01,9,0,9,9231026,京都,停重陽宴、依去夏疫癘也、,日本紀略後1,新訂増補国史大系
延長02,5,0,7,9240616,京都,洪水、,日本紀略,大日本史料1-5
延長02,5,0,7,9240616,京都,雨如沃、終日不止、京中洪水、鴨河往還不通、,扶桑略記24,大日本史料1-5
延長02,5,0,7,9240616,京都,大雨降、洪水出、,貞信公記,大日本古記録
延長02,6,0,16,9240725,京都,此夜丑刻雨降、及寅止自去四日以後久不雨、,祈雨記,大日本史料1-5
延長02,8,0,4,9240910,京都,風雨猛烈公卿不参往還有煩、,扶桑略記24,大日本史料1-5
延長02,9,0,22,9241007,京都,賑給の法、,政事要略,人権歴史年表
延長03,5,0,25,9250621,京都,令斎主祈雨者、,貞信公記,大日本古記録
延長03,5,0,25,9250623,京都,召祭主大中臣安則、令祈甘雨、,日本紀略後1,新訂増補国史大系
延長03,6,0,0,9250629,京都,今月炎旱、,日本紀略後1,新訂増補国史大系
延長03,6,0,0,9250629,天下,夏間、天下大旱、,扶桑略記24,新訂増補国史大系
延長03,7,0,14,9250811,京都,奉勅、炎旱経旬、雨沢不降、…始自今月十六日、七箇日間、於延暦寺、令修甘雨之法…,扶桑略記24,新訂増補国史大系
